county+AF8-name,state+AF8-abbr,value
Miami County,OH,0.04033701948394
Montgomery County,OH,0.03978324854297
Morrow County,OH,0.02378378378378
Ottawa County,OH,0.02100740033421
Perry County,OH,0.0253164556962
Pickaway County,OH,0.02886098259529
Portage County,OH,0.02824594257179
Richland County,OH,0.04453312051077
Stark County,OH,0.03339916356877
Summit County,OH,0.03107059906219
Trumbull County,OH,0.02832712334002
Union County,OH,0.01083838061843
Warren County,OH,0.02855708278416
Wood County,OH,0.03418630524932
Canadian County,OK,0.0703912868092
Cleveland County,OK,0.06811419006881
Comanche County,OK,0.13012628563989
Cotton County,OK,0.06794425087108
Creek County,OK,0.0575207628422
Garfield County,OK,0.08472012102874
Grady County,OK,0.0570461687213
Lincoln County,OK,0.03113879003559
Logan County,OK,0.09741856177013
McClain County,OK,0.04185473943373
Oklahoma County,OK,0.06287758346582
Okmulgee County,OK,0.03231197771588
Osage County,OK,0.02222222222222
Pawnee County,OK,0.06817016914403
Rogers County,OK,0.03075478342528
Sequoyah County,OK,0.02767429483768
Tulsa County,OK,0.04952644460998
Wagoner County,OK,0.06625357483317
